parm,estimate,min90,max90,分类
T_45,-.0641337506844156,-.2947236536536919,.1664561522848607,低母职惩罚地区
T_23,-.157256256573781,-.3811360061878365,.0666234930402745,低母职惩罚地区
T12,-.0692007111599231,-.800106106005486,.6617046836856398,低母职惩罚地区
T34,.340098602940109,.0743154290193442,.6058817768608739,低母职惩罚地区
T56,.0178026178527502,-.2084717919200693,.2440770276255696,低母职惩罚地区
T78,.1830183239271815,-.0378263917925214,.4038630396468844,低母职惩罚地区
T910,.0586487095372826,-.1380755413852042,.2553729604597693,低母职惩罚地区
T_1,0,0,0,低母职惩罚地区
T_45,-.0359723448130048,-.1993330175596496,.1273883279336399,高母职惩罚地区
T_23,-.0041840819888335,-.1361070858780113,.1277389219003443,高母职惩罚地区
T12,.1954166420783298,-.1300155694999125,.5208488536565721,高母职惩罚地区
T34,.0954860218024415,-.135692189511721,.3266642331166041,高母职惩罚地区
T56,.0986430398023797,-.064717632944265,.2620037125490244,高母职惩罚地区
T78,.1176909180111668,-.0142320858780111,.2496139219003447,高母职惩罚地区
T910,.2311827956989249,.0822152625347215,.3801503288631284,高母职惩罚地区
T_1,0,0,0,高母职惩罚地区
