parm,estimate,min90,max90,分类
T_4,-.0170857326340311,-.0314023482205847,-.0027691170474775,全样本
T_3,.0079943383500926,-.0085646559932636,.0245533326934488,全样本
T_2,.0019664924113305,-.0142618351130822,.0181948199357431,全样本
T0,-.1771496073169528,-.1940653395213631,-.1602338751125426,全样本
T1,-.0976733760126167,-.1139019384220245,-.0814448136032089,全样本
T2,-.0342627354652283,-.0508092030348976,-.017716267895559,全样本
T3,-.0296241857315535,-.0458525132559661,-.0133958582071408,全样本
o.T4,0,0,0,全样本
T_1,0,0,0,全样本
