parm,estimate,min90,max90,分类
T_45,-.0183165132253026,-.2299384041231806,.1933053776725754,乡村
T_23,.0101107515317743,-.1635687551484496,.1837902582119982,乡村
T12,-.0809663705913199,-.6047741024795242,.4428413612968844,乡村
T34,.1884258318069796,-.0648110498436202,.4416627134575793,乡村
T56,.1566834867746977,-.0549384041231803,.3683053776725758,乡村
T78,.116777418198441,-.0569020884817828,.2904569248786649,乡村
T910,.1517857142857143,-.026865382864743,.3304368114361717,乡村
T_1,0,0,0,乡村
T_45,-.0912882977114542,-.2597331610146118,.0771565655917034,城镇
T_23,-.1153933364904452,-.2612546567896546,.0304679838087643,城镇
T12,.2529642507850629,-.0938822778846651,.5998107794547909,城镇
T34,.1989531004832262,-.020234785226092,.4181409861925443,城镇
T56,-.0347897907062814,-.201123392231976,.1315438108194132,城镇
T78,.1205173273028081,-.0245401679802366,.2655748225858529,城镇
T910,.1554080891663728,.0043938552578193,.3064223230749263,城镇
T_1,0,0,0,城镇
