parm,estimate,min90,max90,分类
T_4,-.0042262771103645,-.0119903912955121,.0035378370747832,全样本
T_3,.0104637095019982,.0001368754364957,.0207905435675007,全样本
T_2,.0061916738865391,-.0040254667480896,.0164088145211677,全样本
T0,.0135898213501341,.003375953017516,.0238036896827522,全样本
T1,-.067282517533493,-.1075454992670233,-.0270195357999626,全样本
T2,-.0694981633865227,-.1030590255533956,-.0359373012196498,全样本
T3,-.1105766675893253,-.1391481866828694,-.0820051484957812,全样本
T4,-.0206756916044041,-.0474458251752794,.0060944419664712,全样本
T_1,0,0,0,全样本
