v1,coef2010,low2010,high2010
1.childnum,-0.00184,,
,(-0.0244 - 0.0207),-0.0244,0.0207
2.childnum,0.00524,,
,(-0.0236 - 0.0341),-0.0236,0.0341
3.childnum,0.0174,,
,(-0.0179 - 0.0528),-0.0179,0.0528
4.childnum,0.0532,,
,(0.00880 - 0.0975),0.00880,0.0975
5.childnum,0.0482,,
,(-0.0161 - 0.112),-0.0161,0.112
6.childnum,-0.0241,,
,(-0.114 - 0.0663),-0.114,0.0663
