UR,dv,year
urban,.0207090539449132,2019
rural,.0256270887656543,2019
urban,.1599771868539246,1998
rural,.2087885604113111,1998
urban,.2095252983169194,2005
rural,.260904668671659,2005
urban,.0321730639440543,2015
rural,.0378133420656086,2015
